0 0
0.0226757 1642
0.0453515 3279
0.0680272 4901
0.0907029 6504
0.113379 8084
0.136054 9628
0.15873 11139
0.181406 12603
0.204082 14017
0.226757 15380
0.249433 16675
0.272109 17916
0.294785 19072
0.31746 20169
0.340136 21173
0.362812 22101
0.385488 22943
0.408163 23689
0.430839 24348
0.453515 24908
0.47619 25371
0.498866 25735
0.521542 25997
0.544218 26157
0.566893 26213
0.589569 26170
0.612245 26019
0.634921 25770
0.657596 25418
0.680272 24965
0.702948 24416
0.725624 23771
0.748299 23029
0.770975 22204
0.793651 21282
0.816327 20286
0.839002 19202
0.861678 18050
0.884354 16820
0.907029 15531
0.929705 14173
0.952381 12769
0.975057 11304
0.997732 9805
1.02041 8259
1.04308 6686
1.06576 5084
1.08844 3465
1.11111 1826
1.13379 189
1.15646 -1457
1.17914 -3093
1.20181 -4716
1.22449 -6326
1.24717 -7903
1.26984 -9457
1.29252 -10967
1.31519 -12441
1.33787 -13857
1.36054 -15230
1.38322 -16529
1.4059 -17779
1.42857 -18946
1.45125 -20046
1.47392 -21065
1.4966 -21999
1.51927 -22851
1.54195 -23609
1.56463 -24279
1.5873 -24848
1.60998 -25325
1.63265 -25697
1.65533 -25973
1.678 -26143
1.70068 -26213
1.72336 -26180
1.74603 -26040
1.76871 -25806
1.79138 -25459
1.81406 -25025
1.83673 -24482
1.85941 -23849
1.88209 -23119
1.90476 -22300
1.92744 -21393
1.95011 -20403
1.97279 -19328
1.99546 -18186
2.01814 -16962
2.04082 -15680
2.06349 -14333
2.08617 -12927
2.10884 -11478
2.13152 -9972
2.1542 -8441
2.17687 -6863
2.19955 -5270
2.22222 -3646
2.2449 -2016
2.26757 -374
2.29025 1270
2.31293 2907
2.3356 4534
2.35828 6142
2.38095 7728
2.40363 9278
2.4263 10804
2.44898 12268
2.47166 13705
2.49433 15072
2.51701 16389
2.53968 17638
2.56236 18818
2.58503 19924
2.60771 20953
2.63039 21899
2.65306 22756
2.67574 23532
2.69841 24203
2.72109 24792
2.74376 25272
2.76644 25663
2.78912 25944
2.81179 26133
2.83447 26206
2.85714 26192
2.87982 26059
2.90249 25839
2.92517 25503
2.94785 25081
2.97052 24546
2.9932 23928
3.01587 23204
3.03855 22400
3.06122 21500
3.0839 20518
3.10658 19456
3.12925 18318
3.15193 17105
3.1746 15830
3.19728 14487
3.21995 13092
3.24263 11641
3.26531 10151
3.28798 8610
3.31066 7050
3.33333 5448
3.35601 3833
3.37868 2203
3.40136 557
3.42404 -1079
3.44671 -2725
3.46939 -4347
3.49206 -5963
3.51474 -7547
3.53741 -9106
3.56009 -10628
3.58277 -12109
3.60544 -13542
3.62812 -14920
3.65079 -16243
3.67347 -17498
3.69615 -18688
3.71882 -19803
3.7415 -20839
3.76417 -21796
3.78685 -22665
3.80952 -23444
3.8322 -24136
3.85488 -24726
3.87755 -25226
3.90023 -25622
3.9229 -25918
3.94558 -26115
3.96825 -26205
3.99093 -26196
4.01361 -26082
4.03628 -25868
4.05896 -25547
4.08163 -25132
4.10431 -24613
4.12698 -24002
4.14966 -23293
4.17234 -22494
4.19501 -21607
4.21769 -20633
4.24036 -19583
4.26304 -18449
4.28571 -17247
4.30839 -15979
4.33107 -14640
4.35374 -13257
4.37642 -11806
4.39909 -10323
4.42177 -8787
4.44444 -7228
4.46712 -5632
4.4898 -4018
4.51247 -2388
4.53515 -745
4.55782 895
4.5805 2536
4.60317 4165
4.62585 5779
4.64853 7369
4.6712 8931
4.69388 10456
4.71655 11944
4.73923 13380
4.7619 14769
4.78458 16092
4.80726 17362
4.82993 18554
4.85261 19683
4.87528 20723
4.89796 21692
4.92063 22570
4.94331 23362
4.96599 24061
4.98866 24664
5.01134 25174
5.03401 25582
5.05669 25889
5.07937 26099
5.10204 26198
5.12472 26205
5.14739 26098
5.17007 25898
5.19274 25588
5.21542 25185
5.2381 24677
5.26077 24075
5.28345 23380
5.30612 22588
5.3288 21712
5.35147 20749
5.37415 19705
5.39683 18582
5.4195 17388
5.44218 16125
5.46485 14796
5.48753 13417
5.5102 11972
5.53288 10494
5.55556 8965
5.57823 7405
5.60091 5816
5.62358 4202
5.64626 2571
5.66893 936
5.69161 -712
5.71429 -2347
5.73696 -3983
5.75964 -5595
5.78231 -7192
5.80499 -8753
5.82766 -10287
5.85034 -11775
5.87302 -13222
5.89569 -14611
5.91837 -15947
5.94104 -17221
5.96372 -18422
5.98639 -19558
6.00907 -20610
6.03175 -21585
6.05442 -22475
6.0771 -23277
6.09977 -23985
6.12245 -24603
6.14512 -25118
6.1678 -25542
6.19048 -25859
6.21315 -26080
6.23583 -26193
6.2585 -26208
6.28118 -26116
6.30385 -25926
6.32653 -25629
6.34921 -25235
6.37188 -24740
6.39456 -24148
6.41723 -23463
6.43991 -22684
6.46259 -21815
6.48526 -20864
6.50794 -19825
6.53061 -18715
6.55329 -17526
6.57596 -16273
6.59864 -14950
6.62132 -13574
6.64399 -12142
6.66667 -10662
6.68934 -9142
6.71202 -7583
6.73469 -5997
6.75737 -4387
6.78005 -2758
6.80272 -1122
6.8254 525
6.84807 2162
6.87075 3797
6.89342 5415
6.9161 7008
6.93878 8580
6.96145 10113
6.98413 11609
7.0068 13059
7.02948 14457
7.05215 15799
7.07483 17077
7.09751 18293
7.12018 19427
7.14286 20499
7.16553 21476
7.18821 22381
7.21088 23187
7.23356 23913
7.25624 24532
7.27891 25071
7.30159 25493
7.32426 25834
7.34694 26053
7.36961 26192
7.39229 26206
7.41497 26136
7.43764 25950
7.46032 25668
7.48299 25286
7.50567 24800
7.52834 24221
7.55102 23545
7.5737 22777
7.59637 21919
7.61905 20974
7.64172 19950
7.6644 18843
7.68707 17667
7.70975 16416
7.73243 15105
7.7551 13732
7.77778 12309
7.80045 10830
7.82313 9319
7.8458 7759
7.86848 6181
7.89116 4570
7.91383 2943
7.93651 1309
7.95918 -338
7.98186 -1977
8.00454 -3611
8.02721 -5231
8.04989 -6830
8.07256 -8401
8.09524 -9942
8.11791 -11442
8.14059 -12895
8.16327 -14302
8.18594 -15648
8.20862 -16937
8.23129 -18156
8.25397 -19305
8.27664 -20379
8.29932 -21370
8.322 -22282
8.34467 -23101
8.36735 -23833
8.39002 -24470
8.4127 -25010
8.43537 -25454
8.45805 -25798
8.48073 -26036
8.5034 -26179
8.52608 -26211
8.54875 -26147
8.57143 -25979
8.5941 -25704
8.61678 -25334
8.63946 -24861
8.66213 -24291
8.68481 -23628
8.70748 -22867
8.73016 -22022
8.75283 -21085
8.77551 -20071
8.79819 -18973
8.82086 -17802
8.84354 -16564
8.86621 -15255
8.88889 -13894
8.91156 -12469
8.93424 -11005
8.95692 -9488
8.97959 -7941
9.00227 -6361
9.02494 -4753
9.04762 -3131
9.07029 -1493
9.09297 151
9.11565 1788
9.13832 3431
9.161 5043
9.18367 6653
9.20635 8222
9.22902 9771
9.2517 11270
9.27438 12736
9.29705 14141
9.31973 15502
9.3424 16792
9.36508 18021
9.38776 19177
9.41043 20263
9.43311 21260
9.45578 22184
9.47846 23012
9.50113 23753
9.52381 24406
9.54649 24949
9.56916 25413
9.59184 25760
9.61451 26017
9.63719 26166
9.65986 26213
9.68254 26161
9.70522 26000
9.72789 25743
9.75057 25381
9.77324 24917
9.79592 24365
9.81859 23703
9.84127 22962
9.86395 22121
9.88662 21196
9.9093 20189
9.93197 19102
9.95465 17940
9.97732 16706
10 15410
